comment_cleaned,sentiment
know may seem nearly bad people situation today found karate place closing financial issue felt intense emotion loss never felt karate year half life feel like lost part first time ever experience loss really affected feel much much worse got lot video though thank needed know alone get,negative
hi friend lost husband little brother less two year amazing happy people make yet losing kill life seems meaningless still try pick self somehow im like walking zombie forgot smile dont feel dont want loving people brings much joy happiness suddenly taken away die along stay strong guy pray alot help,negative
wife shut recently due reliving childhood trauma triggered emotionally disappeared seemingly instant feel died grieving death mine walk ghost,negative
bsd,negative
sorry know year ago wanted say brave full goodness,negative
seeing emotion emotional time made feel connected human video brought peace warmth thank much sharing grateful video one hit home needed mud lotus,positive
sister died fentanyl overdose struggling harder ever anything describe pain,negative
heart go,negative
helped immenselyi really need hear lost something sentimental value ill likely never get back stupid still hurt,negative
grandma going pas away break heart like nd mother,negative
thanku thanku thanku courage insight vulnerability strength truth,positive
uncle murdered last weekend absolutely heartbroken know process since always mentally prepared lose loved one natural way violent nature homicide taken mom aunt sistersby deep surprise left major wound know move forward want pray scream angry feel thing believe sweet beautiful man taken mom member lds church truly praying indeed afterlife place family truly together forever still help sob weep lose breath every time see picture uncle loved christmas selling christmas light save bit extra money result set christmas tree early bear turn light hurt think robbed life sweet tenderness truly pray god real true mean uncle finally reunited grandma grandpa older brother passed,negative
june st mom passed away glioblastomabrain cancer month later tumor removed parathyroid one thyroid thankfully parathyroid tumor wasnt cancerous could came month later year old son quit talking im angry answer question ive got im letting go anger ive worked hard emotional physical health tool like cope ahead via meditation yoga cardiovascular exercise therapy,negative
beautiful authentic piece content ever seen feel like intense emotion devour break video helpful one hit different demonstrates allow emotion ok thank much amazing,positive
hello im williami lost people lifepeople lot better pain always one thing im christian thought loved one heaven get think loved one way suck dont get wrong worship devil anything like think something different wrong thinking like everyone else ask true christian possible something else tell god therefore possible mind possible man rise dead dont understand simple thing like might something else nothing much fathom man rising dead better believe ill judged man made made statement judge ye end youre going judge christian reading let ask something kind god need everyone praise eternity much dont care eternity think power create alli would create form would sin start everyone get live happiness forever think could get behind believe put sin creation judge succumb kind game know say jesus born year ago proof told book written man know dinosaur lived million year ago proof yes mean caveman walking upright said say thiseven thought evolution christian realm mind getting back grief time thats thing help know time life unable slow speed time matter believe time heal wound learned feel hurtlonlylostmadguilty heaven keep memory alive must go would want thought,neutral
needed video thank,neutral
extremely hurt like,negative
got lot video helped process recent sad loss thank courage post vaule think,positive
art helped degree still,neutral
honestly helping youre cry bpd get,negative
thank hope able smile lot since video,positive
best friend killed almost three week ago still much difficulty accepting,negative
adding onto lovely video beleive lot people also experience general loss someone dying someone leaving life losing opportunity etc losing anyone close matter hurt lot real grieve even havent died,negative
sending god love consolation,positive
friend passed away im unable accept reality barely got heart attack,negative
idea much video help nice someone trust show vulnerability show,positive
video helped breathe suicide ideation,negative
might think im retarded iv lost someone havent even really spoken obviously knew grew place mutual friend anyway really never care death people die time dont care im affected usually stoic mindset thing hurt passing coz thought special think maybe also guilt regret direct could even prevented death potentially know butterfly effect seems really understand much value something lose yea completely unpredictable like chance happening could known,negative
video helped way extreme turning point emotional journey refer back video often ridiculous reminds time ok really negative feeling ok sad feeling shawn feeling permanent video much everything needed hear thank everything channel changed way think lot thing helped progress life thank,positive
im sad,negative
emotion come go like wave thats comfortingthis shall pas,positive
hard thing thank much,positive
wish could cry couldnt,negative
dont know video came needed badly thank,positive
thank dear,positive
thank much inspiration much peace,positive
thank needed hear right heart shattered,negative
fear fear much enlight power enlight light people identified thought feeling control get control thought feeling spend time silence year silence mind everything around constantly screaming noise constantly exposed noise noise prevents balanced,neutral
sorry hear hug kiss,negative
awww bless sorry loss hope okay lost sister suicide due mental health came across video truely know much loss loved one hurt message help people need deal grieve properlyspeak people take care health take good care xxxx,negative
thanks sharing vulnerable moment helpful might imagine,positive
thank real helpful real beautiful souli sorry loss,positive
follower almost youre amazing sorry loss,positive
thank sharing similar feeling intensely need podcast myoutube channel,positive
carry losing someone love grief motivation message httpsyoutubewmgjvqtbbe,neutral
love way life,positive
try make body fat,neutral
lost good friend mine th october found next day trying get working fine day night everything come,negative
thanks much sharing thats love content much youre real relatable im sorry loss grief loss hard part life must learn cope thanks much emma,positive
thank sharing love channel dealing anticipatory grief,negative
grandfather death bed diagnosed terminal brain cancer still feel pain suffering experienced laying prescribed morphine palliative pain care warned could slow respiration remember giving last dose morphine passed followed dosing guideline never expected would stop respiration day feel like killed know whatever could help pain single day go dont think wish could tell sorry miss love grandpa much,negative
ready fact loose people,negative
thank sharing sending much love many hug incredibly sorry tremendous loss watch video lot think amazing person thank hope lean others way let lean,positive
unsure manage control strong one person know emotion even cover often,neutral
lost dad two week ago think abouti miss much hard fall apart everyday know healed heaven ill see prayer grieving,negative
feeling holiest force put touch heart beauty truth feelsome best love song born god bless,positive
thank pouring love,positive
